cwe_id,name,type,score
131,Incorrect Calculation of Buffer Size,Base,0.7636511979782968
805,Buffer Access with Incorrect Length Value,Base,0.7632846822999089
125,Out-of-bounds Read,Base,0.7571966641387154
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Class,0.7552339605301457
191,Integer Underflow (Wrap or Wraparound),Base,0.7518471598065775
126,Buffer Over-read,Variant,0.7487420423345088
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7485900920041108
404,Improper Resource Shutdown or Release,Class,0.7478348522362929
788,Access of Memory Location After End of Buffer,Base,0.7476041392524272
667,Improper Locking,Class,0.7467751888699641
