cwe_id,name,type,score
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,Base,0.7683767416378001
668,Exposure of Resource to Wrong Sphere,Class,0.7667951940092719
497,Exposure of Sensitive System Information to an Unauthorized Control Sphere,Base,0.7536981620244352
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7536472079119731
200,Exposure of Sensitive Information to an Unauthorized Actor,Class,0.7523867130481581
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,0.749948281555491
610,Externally Controlled Reference to a Resource in Another Sphere,Class,0.74983631266758
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7485002032611459
213,Exposure of Sensitive Information Due to Incompatible Policies,Base,0.7467951510564653
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7454885142993228
