cwe_id,name,type,score
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.8183520036897152
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7888813732147058
184,Incomplete List of Disallowed Inputs,Base,0.7806323999271025
183,Permissive List of Allowed Inputs,Base,0.7757843442727048
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7728773234130413
138,Improper Neutralization of Special Elements,Class,0.7720731221962758
472,External Control of Assumed-Immutable Web Parameter,Base,0.7672676849746306
179,Incorrect Behavior Order: Early Validation,Base,0.7649956366368629
1288,Improper Validation of Consistency within Input,Base,0.7630311411162759
116,Improper Encoding or Escaping of Output,Class,0.7616024140932047
