cwe_id,name,type,score
415,Double Free,Variant,0.7638677859731661
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.762005576871766
366,Race Condition within a Thread,Base,0.7546042966931269
131,Incorrect Calculation of Buffer Size,Base,0.7531356816671524
404,Improper Resource Shutdown or Release,Class,0.7484618617306324
124,Buffer Underwrite ('Buffer Underflow'),Base,0.7463479076968251
667,Improper Locking,Class,0.7424223596831387
191,Integer Underflow (Wrap or Wraparound),Base,0.7416922695508344
193,Off-by-one Error,Base,0.7389597180707367
126,Buffer Over-read,Variant,0.7371591329129046
