cwe_id,name,type,score
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.784615161420879
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7811332500684958
116,Improper Encoding or Escaping of Output,Class,0.7777735289085154
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Variant,0.7725952675520258
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7702673346895033
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,0.7656310076747354
184,Incomplete List of Disallowed Inputs,Base,0.7647276797070097
472,External Control of Assumed-Immutable Web Parameter,Base,0.7625253197413118
138,Improper Neutralization of Special Elements,Class,0.7621176588797869
41,Improper Resolution of Path Equivalence,Base,0.7608086404328707
