cwe_id,name,type,score
366,Race Condition within a Thread,Base,0.7782903993533155
703,Improper Check or Handling of Exceptional Conditions,Pillar,0.7703760506526441
404,Improper Resource Shutdown or Release,Class,0.7609586477215379
667,Improper Locking,Class,0.7605861226111332
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7590580198069397
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7515926436412613
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.75038665305481
662,Improper Synchronization,Class,0.7402194769085296
843,Access of Resource Using Incompatible Type ('Type Confusion'),Base,0.7367260428291048
131,Incorrect Calculation of Buffer Size,Base,0.7352952274229778
