cwe_id,name,type,score
472,External Control of Assumed-Immutable Web Parameter,Base,0.7782158581476664
184,Incomplete List of Disallowed Inputs,Base,0.7774275804203894
425,Direct Request ('Forced Browsing'),Base,0.7725587832884164
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7708758242098985
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7691686726438377
639,Authorization Bypass Through User-Controlled Key,Base,0.7664195410956114
41,Improper Resolution of Path Equivalence,Base,0.7627519466358542
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7590061604472277
116,Improper Encoding or Escaping of Output,Class,0.7566321105654014
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Variant,0.7558822006269784
