cwe_id,name,type,score
805,Buffer Access with Incorrect Length Value,Base,0.7959555781534791
130,Improper Handling of Length Parameter Inconsistency,Base,0.7956808927009313
191,Integer Underflow (Wrap or Wraparound),Base,0.7943979493595856
131,Incorrect Calculation of Buffer Size,Base,0.7880529655304209
126,Buffer Over-read,Variant,0.772191991179239
197,Numeric Truncation Error,Base,0.7689952112280176
125,Out-of-bounds Read,Base,0.7686488373659404
124,Buffer Underwrite ('Buffer Underflow'),Base,0.7678972753059045
193,Off-by-one Error,Base,0.7660600810723139
681,Incorrect Conversion between Numeric Types,Base,0.7630498964766674
