cwe_id,name,type,score
1240,Use of a Cryptographic Primitive with a Risky Implementation,Base,0.7896818328380852
1391,Use of Weak Credentials,Class,0.7830976752834493
345,Insufficient Verification of Data Authenticity,Class,0.7802222677945968
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7742981353980596
330,Use of Insufficiently Random Values,Class,0.7742842164105086
668,Exposure of Resource to Wrong Sphere,Class,0.7714623313778621
303,Incorrect Implementation of Authentication Algorithm,Base,0.7714347737992522
328,Use of Weak Hash,Base,0.7690290244172947
657,Violation of Secure Design Principles,Class,0.7683013202134628
319,Cleartext Transmission of Sensitive Information,Base,0.7658718486767659
