cwe_id,name,type,score
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7648646979971857
184,Incomplete List of Disallowed Inputs,Base,0.7573487697992107
41,Improper Resolution of Path Equivalence,Base,0.7558123240484913
73,External Control of File Name or Path,Base,0.7546350639565376
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7507365330862525
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7455696789357175
23,Relative Path Traversal,Base,0.7410420838515295
138,Improper Neutralization of Special Elements,Class,0.7404286930569772
274,Improper Handling of Insufficient Privileges,Base,0.7402075640094544
915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,Base,0.7395377256645275
