cwe_id,name,type,score
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Variant,0.8191569223242317
444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),Base,0.7789455623004152
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7310865358298864
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7208269692606232
41,Improper Resolution of Path Equivalence,Base,0.7153486171731245
162,Improper Neutralization of Trailing Special Elements,Variant,0.7109575536668744
130,Improper Handling of Length Parameter Inconsistency,Base,0.7108914682556814
134,Use of Externally-Controlled Format String,Base,0.7105872276249209
436,Interpretation Conflict,Class,0.7104633577744377
611,Improper Restriction of XML External Entity Reference,Base,0.7075020604422895
