cwe_id,name,type,score
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.782271372523522
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,0.7731870873979383
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7719667194395226
184,Incomplete List of Disallowed Inputs,Base,0.7690481337844695
138,Improper Neutralization of Special Elements,Class,0.75714258900487
116,Improper Encoding or Escaping of Output,Class,0.7550327368176815
73,External Control of File Name or Path,Base,0.7547336901767072
41,Improper Resolution of Path Equivalence,Base,0.7529070727467433
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7483034025750259
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.7481062133178129
