cwe_id,name,type,score
23,Relative Path Traversal,Base,0.7928126133584861
73,External Control of File Name or Path,Base,0.7829461437146424
41,Improper Resolution of Path Equivalence,Base,0.78245214549484
36,Absolute Path Traversal,Base,0.7771935126623236
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.7736553221262379
552,Files or Directories Accessible to External Parties,Base,0.7726752709306934
668,Exposure of Resource to Wrong Sphere,Class,0.7652725249596098
274,Improper Handling of Insufficient Privileges,Base,0.7581123862539296
24,Path Traversal: '../filedir',Variant,0.7556071759929699
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,Base,0.755177320260844
