cwe_id,name,type,score
667,Improper Locking,Class,0.8033735211133651
662,Improper Synchronization,Class,0.796318454000113
404,Improper Resource Shutdown or Release,Class,0.7816331778806174
366,Race Condition within a Thread,Base,0.7762353191867342
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.7723065753740115
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7705533448154612
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7639604254345937
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,0.7557345349238547
665,Improper Initialization,Class,0.7552067711489634
203,Observable Discrepancy,Base,0.7511781872248018
