cwe_id,name,type,score
405,Asymmetric Resource Consumption (Amplification),Class,0.7928563039719028
404,Improper Resource Shutdown or Release,Class,0.7745016256873186
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7693166633930832
799,Improper Control of Interaction Frequency,Class,0.7681904275541159
668,Exposure of Resource to Wrong Sphere,Class,0.7536358709240305
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7492555307140594
1220,Insufficient Granularity of Access Control,Base,0.7459410883523144
639,Authorization Bypass Through User-Controlled Key,Base,0.7446238860606811
789,Memory Allocation with Excessive Size Value,Variant,0.7440947259707142
407,Inefficient Algorithmic Complexity,Class,0.7431816628223004
