cwe_id,name,type,score
668,Exposure of Resource to Wrong Sphere,Class,0.7578846219209068
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7559037052441
41,Improper Resolution of Path Equivalence,Base,0.755724179831432
404,Improper Resource Shutdown or Release,Class,0.7526175563669641
799,Improper Control of Interaction Frequency,Class,0.7525499569605629
674,Uncontrolled Recursion,Class,0.7490862532271216
617,Reachable Assertion,Base,0.7471804906792369
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7457393328323545
691,Insufficient Control Flow Management,Pillar,0.7437651852309213
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7437317204812239
