cwe_id,name,type,score
124,Buffer Underwrite ('Buffer Underflow'),Base,0.7524428299599308
131,Incorrect Calculation of Buffer Size,Base,0.748615427751221
191,Integer Underflow (Wrap or Wraparound),Base,0.7414369787478664
805,Buffer Access with Incorrect Length Value,Base,0.7346063075542569
680,Integer Overflow to Buffer Overflow,Compound,0.7344592766244242
1325,Improperly Controlled Sequential Memory Allocation,Base,0.7320687514061938
126,Buffer Over-read,Variant,0.7294902135511354
125,Out-of-bounds Read,Base,0.7292718884358644
197,Numeric Truncation Error,Base,0.7265362867244871
788,Access of Memory Location After End of Buffer,Base,0.7259531807570381
