cwe_id,name,type,score
667,Improper Locking,Class,0.7812407886024534
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7685328141717627
404,Improper Resource Shutdown or Release,Class,0.7626171021859361
203,Observable Discrepancy,Base,0.7618552905927699
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.758440100778172
941,Incorrectly Specified Destination in a Communication Channel,Base,0.7576248289928202
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.7566998220465011
451,User Interface (UI) Misrepresentation of Critical Information,Class,0.7538364125584991
345,Insufficient Verification of Data Authenticity,Class,0.746718173661408
662,Improper Synchronization,Class,0.7465429050324475
