cwe_id,name,type,score
653,Improper Isolation or Compartmentalization,Class,0.7573414947036445
274,Improper Handling of Insufficient Privileges,Base,0.7315997827246938
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7285758144111506
266,Incorrect Privilege Assignment,Base,0.7253026046985847
691,Insufficient Control Flow Management,Pillar,0.7161180169254984
405,Asymmetric Resource Consumption (Amplification),Class,0.7148817659419684
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.7146407411109894
267,Privilege Defined With Unsafe Actions,Base,0.7130712311181135
915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,Base,0.7120921884117442
1220,Insufficient Granularity of Access Control,Base,0.7093877555709192
