cwe_id,name,type,score
191,Integer Underflow (Wrap or Wraparound),Base,0.7700842452515275
681,Incorrect Conversion between Numeric Types,Base,0.769319691967721
197,Numeric Truncation Error,Base,0.7689317513398934
131,Incorrect Calculation of Buffer Size,Base,0.7477906919031156
195,Signed to Unsigned Conversion Error,Variant,0.7380490386724478
680,Integer Overflow to Buffer Overflow,Compound,0.7326598636119606
194,Unexpected Sign Extension,Variant,0.7310611752856853
124,Buffer Underwrite ('Buffer Underflow'),Base,0.7293453540163686
805,Buffer Access with Incorrect Length Value,Base,0.7263438184166877
129,Improper Validation of Array Index,Variant,0.7246560359843638
