cwe_id,name,type,score
345,Insufficient Verification of Data Authenticity,Class,0.7813722677407002
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7763761861998534
319,Cleartext Transmission of Sensitive Information,Base,0.7740910568934669
295,Improper Certificate Validation,Base,0.7714865386114325
1391,Use of Weak Credentials,Class,0.7705423662033908
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,0.767885040609267
312,Cleartext Storage of Sensitive Information,Base,0.7650276798515716
303,Incorrect Implementation of Authentication Algorithm,Base,0.7640420462410286
203,Observable Discrepancy,Base,0.7639632735120502
668,Exposure of Resource to Wrong Sphere,Class,0.7600938328544125
