cwe_id,name,type,score
366,Race Condition within a Thread,Base,0.7871281080579721
662,Improper Synchronization,Class,0.7787839222063171
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.7686353160389352
667,Improper Locking,Class,0.7598010866986699
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,0.7586026398045613
368,Context Switching Race Condition,Base,0.7428880525973784
941,Incorrectly Specified Destination in a Communication Channel,Base,0.7428777681823997
404,Improper Resource Shutdown or Release,Class,0.735746802591438
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7346808913536058
405,Asymmetric Resource Consumption (Amplification),Class,0.7317951248501564
