cwe_id,name,type,score
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.8073652750792617
61,UNIX Symbolic Link (Symlink) Following,Compound,0.7957761735060103
41,Improper Resolution of Path Equivalence,Base,0.7821317947258069
23,Relative Path Traversal,Base,0.7712298021653474
73,External Control of File Name or Path,Base,0.7660637556154775
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7543497180610853
427,Uncontrolled Search Path Element,Base,0.7505302491135046
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7477336015628759
24,Path Traversal: '../filedir',Variant,0.7472054440999765
184,Incomplete List of Disallowed Inputs,Base,0.744342090614561
