cwe_id,name,type,score
667,Improper Locking,Class,0.7806118229893555
404,Improper Resource Shutdown or Release,Class,0.7784640311151585
366,Race Condition within a Thread,Base,0.7707126281550422
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.769381241284518
668,Exposure of Resource to Wrong Sphere,Class,0.7637781650050643
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7635569871136365
754,Improper Check for Unusual or Exceptional Conditions,Class,0.7625675016020077
41,Improper Resolution of Path Equivalence,Base,0.7588624728687207
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,0.757975684517666
843,Access of Resource Using Incompatible Type ('Type Confusion'),Base,0.7560697090102668
