cwe_id,name,type,score
23,Relative Path Traversal,Base,0.7889806915172055
73,External Control of File Name or Path,Base,0.7874338038613368
41,Improper Resolution of Path Equivalence,Base,0.7797020912212518
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,Base,0.7776973811604311
552,Files or Directories Accessible to External Parties,Base,0.77421614915082
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.77384825425895
668,Exposure of Resource to Wrong Sphere,Class,0.7729700184925644
36,Absolute Path Traversal,Base,0.7682325743918034
610,Externally Controlled Reference to a Resource in Another Sphere,Class,0.7651783536821106
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7620496235294607
