cwe_id,name,type,score
294,Authentication Bypass by Capture-replay,Base,0.7864600687368395
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.780878949526119
303,Incorrect Implementation of Authentication Algorithm,Base,0.7690551419504625
345,Insufficient Verification of Data Authenticity,Class,0.765603077344652
302,Authentication Bypass by Assumed-Immutable Data,Base,0.7633265795791522
319,Cleartext Transmission of Sensitive Information,Base,0.7628584073922404
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7609465067427836
941,Incorrectly Specified Destination in a Communication Channel,Base,0.7592255784483487
288,Authentication Bypass Using an Alternate Path or Channel,Base,0.7574204625288723
1391,Use of Weak Credentials,Class,0.7569001819732017
