cwe_id,name,type,score
274,Improper Handling of Insufficient Privileges,Base,0.7643821880135098
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7544780778401603
653,Improper Isolation or Compartmentalization,Class,0.7533241708319126
303,Incorrect Implementation of Authentication Algorithm,Base,0.7489080482724597
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.7487827596364537
1391,Use of Weak Credentials,Class,0.7455185373496522
1220,Insufficient Granularity of Access Control,Base,0.7446073436809556
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,Base,0.74453848426346
668,Exposure of Resource to Wrong Sphere,Class,0.7416742553280995
657,Violation of Secure Design Principles,Class,0.7401276378524464
