cwe_id,name,type,score
703,Improper Check or Handling of Exceptional Conditions,Pillar,0.7717437306299525
274,Improper Handling of Insufficient Privileges,Base,0.7684930858378877
754,Improper Check for Unusual or Exceptional Conditions,Class,0.763527876859249
653,Improper Isolation or Compartmentalization,Class,0.7628470667703331
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.7604422553912669
691,Insufficient Control Flow Management,Pillar,0.7587204432502827
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7514185238901042
404,Improper Resource Shutdown or Release,Class,0.7510315848530255
667,Improper Locking,Class,0.7506001437088767
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7496367239410051
