cwe_id,name,type,score
366,Race Condition within a Thread,Base,0.7935355387208639
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,0.7721713405180634
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,0.7604322668253913
667,Improper Locking,Class,0.7600016197251391
823,Use of Out-of-range Pointer Offset,Base,0.7566868980859681
191,Integer Underflow (Wrap or Wraparound),Base,0.7533884106527202
131,Incorrect Calculation of Buffer Size,Base,0.752866747924208
404,Improper Resource Shutdown or Release,Class,0.7514395368371056
125,Out-of-bounds Read,Base,0.7487514527224647
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7454356956412498
