cwe_id,name,type,score
274,Improper Handling of Insufficient Privileges,Base,0.7785066977535866
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.7604484415198717
653,Improper Isolation or Compartmentalization,Class,0.7554004113214877
303,Incorrect Implementation of Authentication Algorithm,Base,0.7507704746872308
1390,Weak Authentication,Class,0.7498802181621846
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7458026595751894
1220,Insufficient Granularity of Access Control,Base,0.7443768141665617
266,Incorrect Privilege Assignment,Base,0.7435206890509934
267,Privilege Defined With Unsafe Actions,Base,0.7395780378034245
693,Protection Mechanism Failure,Pillar,0.7392330873373232
