cwe_id,name,type,score
274,Improper Handling of Insufficient Privileges,Base,0.7712655803510229
653,Improper Isolation or Compartmentalization,Class,0.7707989883925451
266,Incorrect Privilege Assignment,Base,0.7590639408804953
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7589724032549818
267,Privilege Defined With Unsafe Actions,Base,0.7542337639424493
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.7529847787348878
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7488088170633116
668,Exposure of Resource to Wrong Sphere,Class,0.7465898766959752
41,Improper Resolution of Path Equivalence,Base,0.7451273294192412
184,Incomplete List of Disallowed Inputs,Base,0.7450693212366722
