cwe_id,name,type,score
404,Improper Resource Shutdown or Release,Class,0.7769211385198296
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7729501922206341
405,Asymmetric Resource Consumption (Amplification),Class,0.7608834765208188
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7584509587127723
668,Exposure of Resource to Wrong Sphere,Class,0.7584161611070923
789,Memory Allocation with Excessive Size Value,Variant,0.7568035645777428
667,Improper Locking,Class,0.7547567432865115
407,Inefficient Algorithmic Complexity,Class,0.7546725128039515
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,0.7507459465431863
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7502081032055599
