cwe_id,name,type,score
191,Integer Underflow (Wrap or Wraparound),Base,0.789534658438515
131,Incorrect Calculation of Buffer Size,Base,0.7772931125584799
126,Buffer Over-read,Variant,0.7669828508514875
805,Buffer Access with Incorrect Length Value,Base,0.765396860151718
124,Buffer Underwrite ('Buffer Underflow'),Base,0.7631432518068566
681,Incorrect Conversion between Numeric Types,Base,0.761883354262801
193,Off-by-one Error,Base,0.7607110107103356
197,Numeric Truncation Error,Base,0.7606309528482882
125,Out-of-bounds Read,Base,0.7593087887534941
190,Integer Overflow or Wraparound,Base,0.7519653525219505
