cwe_id,name,type,score
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7169516626479567
653,Improper Isolation or Compartmentalization,Class,0.7143989354746036
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7081582162136844
274,Improper Handling of Insufficient Privileges,Base,0.703093940307681
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.698368505472218
691,Insufficient Control Flow Management,Pillar,0.6972296429402679
1220,Insufficient Granularity of Access Control,Base,0.6958683153556002
657,Violation of Secure Design Principles,Class,0.6942807289136759
183,Permissive List of Allowed Inputs,Base,0.6936243200599334
1390,Weak Authentication,Class,0.6909494889522549
