cwe_id,name,type,score
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7912561846696071
451,User Interface (UI) Misrepresentation of Critical Information,Class,0.7882166864956026
184,Incomplete List of Disallowed Inputs,Base,0.7818306992305131
41,Improper Resolution of Path Equivalence,Base,0.7748529804915403
116,Improper Encoding or Escaping of Output,Class,0.7730783115444263
843,Access of Resource Using Incompatible Type ('Type Confusion'),Base,0.7720275719599042
838,Inappropriate Encoding for Output Context,Base,0.7695169957781672
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7690505097539504
138,Improper Neutralization of Special Elements,Class,0.7681042464568364
134,Use of Externally-Controlled Format String,Base,0.7657446744889533
