cwe_id,name,type,score
497,Exposure of Sensitive System Information to an Unauthorized Control Sphere,Base,0.7863665686121475
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,Base,0.784482330525009
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7805338729097582
668,Exposure of Resource to Wrong Sphere,Class,0.780329528826136
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7713224294828991
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,0.7692699582876817
552,Files or Directories Accessible to External Parties,Base,0.7688416906890639
200,Exposure of Sensitive Information to an Unauthorized Actor,Class,0.7667256253759087
41,Improper Resolution of Path Equivalence,Base,0.766348554654962
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7661007621686593
