cwe_id,name,type,score,relationship_count
613,Insufficient Session Expiration,base,4.329000000000001,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
798,Use of Hard-coded Credentials,base,3.6399999999999997,0
266,Incorrect Privilege Assignment,base,3.6399999999999997,0
257,Storing Passwords in a Recoverable Format,base,3.6399999999999997,0
20,Improper Input Validation,class,2.984,0
41,Improper Resolution of Path Equivalence,Base,2.9116633837426376,0
73,External Control of File Name or Path,Base,2.9062332562439614,0
59,Improper Link Resolution Before File Access ('Link Following'),Base,2.9046241972037943,0
386,Symbolic Name not Mapping to Correct Object,base,2.9005600000000005,0
