cwe_id,name,type,score,relationship_count
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),base,5.031000000000001,0
494,Download of Code Without Integrity Check,base,4.329000000000001,0
613,Insufficient Session Expiration,base,4.329000000000001,0
770,Allocation of Resources Without Limits or Throttling,base,4.329000000000001,0
1284,Improper Validation of Specified Quantity in Input,base,4.329000000000001,0
789,Memory Allocation with Excessive Size Value,variant,3.8784,0
942,Permissive Cross-domain Policy with Untrusted Domains,variant,3.8784,0
352,Cross-Site Request Forgery (CSRF),compound,3.542,0
322,Key Exchange without Entity Authentication,base,3.4361600000000005,0
183,Permissive List of Allowed Inputs,base,3.4200400000000006,0
