cwe_id,name,type,score,relationship_count
364,Signal Handler Race Condition,base,4.329000000000001,0
476,NULL Pointer Dereference,base,4.329000000000001,0
609,Double-Checked Locking,base,4.329000000000001,0
772,Missing Release of Resource after Effective Lifetime,base,4.329000000000001,0
416,Use After Free,variant,3.8784,0
787,Out-of-bounds Write,base,3.4866,0
123,Write-what-where Condition,base,3.3566,0
415,Double Free,variant,3.3264,0
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,2.906099904030039,0
386,Symbolic Name not Mapping to Correct Object,base,2.9005600000000005,0
