cwe_id,name,type,score,relationship_count
613,Insufficient Session Expiration,base,4.329000000000001,0
1275,Sensitive Cookie with Improper SameSite Attribute,variant,3.8784,0
178,Improper Handling of Case Sensitivity,base,3.757,0
202,Exposure of Sensitive Information Through Data Queries,base,3.6399999999999997,0
1289,Improper Validation of Unsafe Equivalence in Input,base,3.6399999999999997,0
201,Insertion of Sensitive Information Into Sent Data,Base,3.3125107272119387,0
352,Cross-Site Request Forgery (CSRF),compound,3.0919999999999996,0
226,Sensitive Information in Resource Not Removed Before Reuse,Base,2.9130400414710014,0
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,2.9129622580601855,0
322,Key Exchange without Entity Authentication,base,2.8651999999999997,0
