cwe_id,name,type,score,relationship_count
259,Use of Hard-coded Password,variant,4.0104,0
321,Use of Hard-coded Cryptographic Key,variant,4.0104,0
257,Storing Passwords in a Recoverable Format,base,3.6399999999999997,0
426,Untrusted Search Path,base,3.6399999999999997,0
386,Symbolic Name not Mapping to Correct Object,base,2.9005600000000005,0
942,Permissive Cross-domain Policy with Untrusted Domains,variant,2.5507200000000005,0
274,Improper Handling of Insufficient Privileges,Base,2.494012229989037,0
280,Improper Handling of Insufficient Permissions or Privileges ,Base,2.4916847041307646,0
798,Use of Hard-coded Credentials,Base,2.4908601965649346,0
427,Uncontrolled Search Path Element,Base,2.481128380573474,0
