cwe_id,name,type,score,relationship_count
386,Symbolic Name not Mapping to Correct Object,base,4.4954,0
178,Improper Handling of Case Sensitivity,base,3.6399999999999997,0
1289,Improper Validation of Unsafe Equivalence in Input,base,3.6399999999999997,0
252,Unchecked Return Value,base,3.5698000000000003,0
363,Race Condition Enabling Link Following,base,2.8651999999999997,0
609,Double-Checked Locking,base,2.8651999999999997,0
942,Permissive Cross-domain Policy with Untrusted Domains,variant,2.6784000000000003,0
486,Comparison of Classes by Name,variant,2.6039999999999996,0
456,Missing Initialization of a Variable,variant,2.5507200000000005,0
266,Incorrect Privilege Assignment,Base,2.4983035446460082,0
