cwe_id,name,type,score,relationship_count
613,Insufficient Session Expiration,base,4.329000000000001,0
178,Improper Handling of Case Sensitivity,base,3.757,0
1289,Improper Validation of Unsafe Equivalence in Input,base,3.6399999999999997,0
289,Authentication Bypass by Alternate Name,base,2.8651999999999997,0
942,Permissive Cross-domain Policy with Untrusted Domains,variant,2.6784000000000003,0
456,Missing Initialization of a Variable,variant,2.6784000000000003,0
287,Improper Authentication,class,2.5519999999999996,0
274,Improper Handling of Insufficient Privileges,Base,2.4978675919066085,0
280,Improper Handling of Insufficient Permissions or Privileges ,Base,2.495631196218159,0
266,Incorrect Privilege Assignment,Base,2.492464653713978,0
