cwe_id,name,type,score,relationship_count
73,External Control of File Name or Path,base,4.8204,0
613,Insufficient Session Expiration,base,4.329000000000001,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
386,Symbolic Name not Mapping to Correct Object,base,4.212000000000001,0
184,Incomplete List of Disallowed Inputs,base,3.5698000000000003,0
61,UNIX Symbolic Link (Symlink) Following,compound,3.002,0
20,Improper Input Validation,class,2.984,0
59,Improper Link Resolution Before File Access ('Link Following'),Base,2.8995433196776115,0
182,Collapse of Data into Unsafe Value,base,2.821,0
363,Race Condition Enabling Link Following,base,2.73416,0
