cwe_id,name,type,score,relationship_count
385,Covert Timing Channel,base,4.329000000000001,0
295,Improper Certificate Validation,base,3.6399999999999997,0
322,Key Exchange without Entity Authentication,base,3.6399999999999997,0
208,Observable Timing Discrepancy,Base,2.8961456422492833,0
804,Guessable CAPTCHA,base,2.8651999999999997,0
259,Use of Hard-coded Password,variant,2.8104,0
499,Serializable Class Containing Sensitive Data,variant,2.6784000000000003,0
498,Cloneable Class Containing Sensitive Information,variant,2.6784000000000003,0
1392,Use of Default Credentials,base,2.4699999999999998,0
538,Insertion of Sensitive Information into Externally-Accessible File or Directory,base,2.4699999999999998,0
