cwe_id,name,type,score,relationship_count
386,Symbolic Name not Mapping to Correct Object,base,4.914000000000001,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
252,Unchecked Return Value,base,3.8038000000000003,0
178,Improper Handling of Case Sensitivity,base,3.6399999999999997,0
367,Time-of-check Time-of-use (TOCTOU) Race Condition,base,3.6399999999999997,0
41,Improper Resolution of Path Equivalence,Base,3.320134640342548,0
73,External Control of File Name or Path,Base,3.1879490057768036,0
61,UNIX Symbolic Link (Symlink) Following,compound,3.002,0
59,Improper Link Resolution Before File Access ('Link Following'),Base,2.8987259640752674,0
322,Key Exchange without Entity Authentication,base,2.8651999999999997,0
