cwe_id,name,type,score,relationship_count
385,Covert Timing Channel,base,4.329000000000001,0
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),base,4.329000000000001,0
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),base,4.329000000000001,0
476,NULL Pointer Dereference,base,4.329000000000001,0
456,Missing Initialization of a Variable,variant,3.8784,0
457,Use of Uninitialized Variable,variant,3.8784,0
280,Improper Handling of Insufficient Permissions or Privileges ,base,3.6399999999999997,0
126,Buffer Over-read,variant,3.4704,0
98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),variant,3.24,0
327,Use of a Broken or Risky Cryptographic Algorithm,class,2.984,0
